_id,user_id,text,date,like,share,post_id
69ca6d99fc13ae3a0135bacc,69ca670dfc13ae3b2e35c096,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,12/7/2025,149,0,69ca6893fc13ae3aba35bde5
69ca6d99fc13ae3a0135bacd,69ca670dfc13ae3b2e35c029,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",10/24/2026,187,0,69ca6893fc13ae3aba35bcc5
69ca6d99fc13ae3a0135bace,69ca670efc13ae3b2e35c133,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",4/16/2025,138,0,69ca6894fc13ae3aba35bf06
69ca6d99fc13ae3a0135bacf,69ca670dfc13ae3b2e35bf4d,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",5/14/2026,24,0,69ca6894fc13ae3aba35bed6
69ca6d99fc13ae3a0135bad0,69ca670efc13ae3b2e35c177,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",1/21/2025,70,0,69ca6894fc13ae3aba35bf45
69ca6d99fc13ae3a0135bad1,69ca670dfc13ae3b2e35c006,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,4/4/2026,42,0,69ca6893fc13ae3aba35be28
69ca6d99fc13ae3a0135bad2,69ca670dfc13ae3b2e35bfcd,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",11/6/2025,30,0,69ca6893fc13ae3aba35bd0b
69ca6d99fc13ae3a0135bad3,69ca670efc13ae3b2e35c10b,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",12/11/2025,36,0,69ca6894fc13ae3aba35be9d
69ca6d99fc13ae3a0135bad4,69ca670efc13ae3b2e35c251,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",7/11/2025,100,0,69ca6893fc13ae3aba35bd2f
69ca6d99fc13ae3a0135bad5,69ca670dfc13ae3b2e35c001,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1/31/2026,103,0,69ca6893fc13ae3aba35bdb9
69ca6d99fc13ae3a0135bad6,69ca670dfc13ae3b2e35bef1,Integer non velit.,5/19/2025,143,0,69ca6892fc13ae3aba35bc23
69ca6d99fc13ae3a0135bad7,69ca670dfc13ae3b2e35bf68,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,1/4/2026,34,0,69ca6894fc13ae3aba35bf52
69ca6d99fc13ae3a0135bad8,69ca670dfc13ae3b2e35c06b,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",12/13/2026,154,0,69ca6893fc13ae3aba35bcc9
69ca6d99fc13ae3a0135bad9,69ca670dfc13ae3b2e35bf7d,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",11/25/2025,56,0,69ca6892fc13ae3aba35bc26
69ca6d99fc13ae3a0135bada,69ca670efc13ae3b2e35c1f7,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",9/22/2026,120,0,69ca6893fc13ae3aba35bd75
69ca6d99fc13ae3a0135badb,69ca670efc13ae3b2e35c107,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",5/16/2025,46,0,69ca6893fc13ae3aba35bd26
69ca6d99fc13ae3a0135badc,69ca670efc13ae3b2e35c1e9,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",6/10/2025,14,0,69ca6894fc13ae3aba35bedd
69ca6d99fc13ae3a0135badd,69ca670dfc13ae3b2e35bf5b,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.",7/29/2025,116,0,69ca6894fc13ae3aba35bf1e
69ca6d99fc13ae3a0135bade,69ca670dfc13ae3b2e35c0da,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",9/3/2026,85,0,69ca6892fc13ae3aba35bc95
69ca6d99fc13ae3a0135badf,69ca670efc13ae3b2e35c1ce,"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",3/17/2026,142,0,69ca6894fc13ae3aba35bf15
69ca6d99fc13ae3a0135bae0,69ca670dfc13ae3b2e35bef6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",1/28/2025,15,0,69ca6893fc13ae3aba35bcb5
